市町村,年,客室数
那覇市,2007,11833
糸満市,2007,87
豊見城市,2007,59
八重瀬町,2007,68
南城市,2007,195
与那原町,2007,20
南風原町,2007,0
沖縄市,2007,715
宜野湾市,2007,338
浦添市,2007,108
うるま市,2007,615
読谷村,2007,972
嘉手納町,2007,28
北谷町,2007,545
北中城村,2007,228
中城村,2007,0
西原町,2007,41
名護市,2007,2044
国頭村,2007,322
大宜味村,2007,15
東村,2007,56
今帰仁村,2007,254
本部町,2007,791
恩納村,2007,3423
宜野座村,2007,110
金武町,2007,730
宮古島市,2007,1975
多良間村,2007,58
石垣市,2007,3891
竹富町,2007,1538
与那国町,2007,295
久米島町,2007,699
渡嘉敷村,2007,329
座間味村,2007,542
粟国村,2007,70
渡名喜村,2007,30
南大東村,2007,89
北大東村,2007,45
伊江村,2007,202
伊平屋村,2007,114
伊是名村,2007,180
沖縄県,2007,33654
南部,2007,12262
中部,2007,3590
北部,2007,7745
宮古,2007,2033
八重山,2007,5724
離島,2007,2300
那覇市,2008,12301
糸満市,2008,87
豊見城市,2008,117
八重瀬町,2008,74
南城市,2008,199
与那原町,2008,20
南風原町,2008,0
沖縄市,2008,657
宜野湾市,2008,334
浦添市,2008,109
うるま市,2008,693
読谷村,2008,1023
嘉手納町,2008,28
北谷町,2008,532
北中城村,2008,228
中城村,2008,0
西原町,2008,41
名護市,2008,2225
国頭村,2008,311
大宜味村,2008,18
東村,2008,41
今帰仁村,2008,219
本部町,2008,789
恩納村,2008,3518
宜野座村,2008,121
金武町,2008,730
宮古島市,2008,2065
多良間村,2008,58
石垣市,2008,4177
竹富町,2008,1664
与那国町,2008,295
久米島町,2008,702
渡嘉敷村,2008,334
座間味村,2008,565
粟国村,2008,70
渡名喜村,2008,30
南大東村,2008,84
北大東村,2008,45
伊江村,2008,204
伊平屋村,2008,114
伊是名村,2008,183
沖縄県,2008,35005
南部,2008,12798
中部,2008,3645
北部,2008,7972
宮古,2008,2123
八重山,2008,6136
離島,2008,2331
那覇市,2009,13691
糸満市,2009,585
豊見城市,2009,285
八重瀬町,2009,65
南城市,2009,198
与那原町,2009,20
南風原町,2009,0
沖縄市,2009,657
宜野湾市,2009,334
浦添市,2009,75
うるま市,2009,714
読谷村,2009,984
嘉手納町,2009,26
北谷町,2009,575
北中城村,2009,228
中城村,2009,0
西原町,2009,43
名護市,2009,2228
国頭村,2009,283
大宜味村,2009,18
東村,2009,41
今帰仁村,2009,236
本部町,2009,816
恩納村,2009,3633
宜野座村,2009,121
金武町,2009,10
宮古島市,2009,2140
多良間村,2009,53
石垣市,2009,4198
竹富町,2009,1447
与那国町,2009,335
久米島町,2009,668
渡嘉敷村,2009,342
座間味村,2009,565
粟国村,2009,70
渡名喜村,2009,34
南大東村,2009,94
北大東村,2009,45
伊江村,2009,204
伊平屋村,2009,111
伊是名村,2009,187
沖縄県,2009,36359
南部,2009,14844
中部,2009,3636
北部,2009,7386
宮古,2009,2193
八重山,2009,5980
離島,2009,2320
那覇市,2010,13739
糸満市,2010,599
豊見城市,2010,303
八重瀬町,2010,65
南城市,2010,146
与那原町,2010,26
南風原町,2010,0
沖縄市,2010,637
宜野湾市,2010,573
浦添市,2010,56
うるま市,2010,586
読谷村,2010,1134
嘉手納町,2010,28
北谷町,2010,580
北中城村,2010,214
中城村,2010,0
西原町,2010,43
名護市,2010,2294
国頭村,2010,328
大宜味村,2010,19
東村,2010,44
今帰仁村,2010,273
本部町,2010,898
恩納村,2010,3577
宜野座村,2010,117
金武町,2010,10
宮古島市,2010,2511
多良間村,2010,53
石垣市,2010,4087
竹富町,2010,1444
与那国町,2010,297
久米島町,2010,696
渡嘉敷村,2010,353
座間味村,2010,575
粟国村,2010,70
渡名喜村,2010,34
南大東村,2010,94
北大東村,2010,45
伊江村,2010,205
伊平屋村,2010,121
伊是名村,2010,176
沖縄県,2010,37050
南部,2010,14878
中部,2010,3851
北部,2010,7560
宮古,2010,2564
八重山,2010,5828
離島,2010,2369
那覇市,2011,14444
糸満市,2011,586
豊見城市,2011,329
八重瀬町,2011,65
南城市,2011,146
与那原町,2011,22
南風原町,2011,0
沖縄市,2011,655
宜野湾市,2011,573
浦添市,2011,56
うるま市,2011,583
読谷村,2011,1141
嘉手納町,2011,30
北谷町,2011,580
北中城村,2011,248
中城村,2011,0
西原町,2011,43
名護市,2011,2311
国頭村,2011,342
