市町村,年,収容人数
那覇市,2007,21914
糸満市,2007,257
豊見城市,2007,68
八重瀬町,2007,155
南城市,2007,956
与那原町,2007,42
南風原町,2007,0
沖縄市,2007,1523
宜野湾市,2007,1083
浦添市,2007,220
うるま市,2007,2042
読谷村,2007,2789
嘉手納町,2007,48
北谷町,2007,1642
北中城村,2007,456
中城村,2007,0
西原町,2007,67
名護市,2007,4972
国頭村,2007,1066
大宜味村,2007,54
東村,2007,232
今帰仁村,2007,795
本部町,2007,2636
恩納村,2007,11030
宜野座村,2007,475
金武町,2007,756
宮古島市,2007,5345
多良間村,2007,156
石垣市,2007,9818
竹富町,2007,4459
与那国町,2007,689
久米島町,2007,1776
渡嘉敷村,2007,1387
座間味村,2007,1734
粟国村,2007,216
渡名喜村,2007,85
南大東村,2007,158
北大東村,2007,100
伊江村,2007,588
伊平屋村,2007,661
伊是名村,2007,522
沖縄県,2007,82972
南部,2007,23392
中部,2007,9870
北部,2007,22016
宮古,2007,5501
八重山,2007,14966
離島,2007,7227
那覇市,2008,22433
糸満市,2008,257
豊見城市,2008,126
八重瀬町,2008,180
南城市,2008,903
与那原町,2008,42
南風原町,2008,0
沖縄市,2008,1396
宜野湾市,2008,1071
浦添市,2008,225
うるま市,2008,2275
読谷村,2008,2813
嘉手納町,2008,48
北谷町,2008,1513
北中城村,2008,457
中城村,2008,0
西原町,2008,67
名護市,2008,5662
国頭村,2008,970
大宜味村,2008,64
東村,2008,192
今帰仁村,2008,805
本部町,2008,2829
恩納村,2008,11406
宜野座村,2008,516
金武町,2008,756
宮古島市,2008,5632
多良間村,2008,156
石垣市,2008,10609
竹富町,2008,4857
与那国町,2008,689
久米島町,2008,2055
渡嘉敷村,2008,1399
座間味村,2008,1812
粟国村,2008,216
渡名喜村,2008,85
南大東村,2008,144
北大東村,2008,100
伊江村,2008,596
伊平屋村,2008,661
伊是名村,2008,528
沖縄県,2008,86545
南部,2008,23941
中部,2008,9865
北部,2008,23200
宮古,2008,5788
八重山,2008,16155
離島,2008,7596
那覇市,2009,24841
糸満市,2009,1800
豊見城市,2009,477
八重瀬町,2009,147
南城市,2009,901
与那原町,2009,42
南風原町,2009,0
沖縄市,2009,1396
宜野湾市,2009,1071
浦添市,2009,175
うるま市,2009,2370
読谷村,2009,2812
嘉手納町,2009,51
北谷町,2009,1754
北中城村,2009,457
中城村,2009,0
西原町,2009,67
名護市,2009,5668
国頭村,2009,910
大宜味村,2009,64
東村,2009,194
今帰仁村,2009,801
本部町,2009,2904
恩納村,2009,11813
宜野座村,2009,516
金武町,2009,36
宮古島市,2009,5850
多良間村,2009,145
石垣市,2009,10651
竹富町,2009,3834
与那国町,2009,784
久米島町,2009,1964
渡嘉敷村,2009,1415
座間味村,2009,1812
粟国村,2009,216
渡名喜村,2009,95
南大東村,2009,156
北大東村,2009,100
伊江村,2009,596
伊平屋村,2009,649
伊是名村,2009,532
沖縄県,2009,90066
南部,2009,28208
中部,2009,10153
北部,2009,22906
宮古,2009,5995
八重山,2009,15269
離島,2009,7535
那覇市,2010,25014
糸満市,2010,1835
豊見城市,2010,495
八重瀬町,2010,147
南城市,2010,675
与那原町,2010,62
南風原町,2010,0
沖縄市,2010,1362
宜野湾市,2010,1787
浦添市,2010,133
うるま市,2010,1924
読谷村,2010,3443
嘉手納町,2010,63
北谷町,2010,1770
北中城村,2010,429
中城村,2010,0
西原町,2010,67
名護市,2010,5884
国頭村,2010,1054
大宜味村,2010,64
東村,2010,207
今帰仁村,2010,882
本部町,2010,3171
恩納村,2010,12522
宜野座村,2010,502
金武町,2010,36
宮古島市,2010,6940
多良間村,2010,145
石垣市,2010,10065
竹富町,2010,3820
与那国町,2010,710
久米島町,2010,1993
渡嘉敷村,2010,1441
座間味村,2010,1834
粟国村,2010,216
渡名喜村,2010,95
南大東村,2010,156
北大東村,2010,100
伊江村,2010,604
伊平屋村,2010,684
伊是名村,2010,502
沖縄県,2010,92833
南部,2010,28228
中部,2010,10978
北部,2010,24322
宮古,2010,7085
八重山,2010,14595
離島,2010,7625
那覇市,2011,27927
糸満市,2011,1776
豊見城市,2011,521
八重瀬町,2011,147
南城市,2011,675
与那原町,2011,52
南風原町,2011,0
沖縄市,2011,1400
宜野湾市,2011,1787
浦添市,2011,133
うるま市,2011,1918
読谷村,2011,3466
嘉手納町,2011,50
北谷町,2011,1770
北中城村,2011,501
中城村,2011,0
西原町,2011,67
名護市,2011,5927
国頭村,2011,1136
大宜味村,2011,68
東村,2011,227
今帰仁村,2011,965
本部町,2011,3278
恩納村,2011,13106
宜野座村,2011,501
金武町,2011,156
宮古島市,2011,7100
多良間村,2011,173
石垣市,2011,9874
竹富町,2011,3877
与那国町,2011,671
久米島町,2011,1996
渡嘉敷村,2011,1468
座間味村,2011,1835
粟国村,2011,250
渡名喜村,2011,95
南大東村,2011,156
北大東村,2011,100
伊江村,2011,604
伊平屋村,2011,684
伊是名村,2011,517
沖縄県,2011,96954
南部,2011,31098
中部,2011,11092
北部,2011,25364
宮古,2011,7273
八重山,2011,14422
離島,2011,7705
那覇市,2012,28564
糸満市,2012,1623
豊見城市,2012,882
八重瀬町,2012,158
南城市,2012,743
与那原町,2012,72
南風原町,2012,0
沖縄市,2012,1400
宜野湾市,2012,1515
浦添市,2012,133
うるま市,2012,1654
読谷村,2012,3496
嘉手納町,2012,50
北谷町,2012,2148
北中城村,2012,651
中城村,2012,0
西原町,2012,49
名護市,2012,6218
国頭村,2012,1090
大宜味村,2012,62
東村,2012,227
今帰仁村,2012,1023
本部町,2012,3242
恩納村,2012,13163
宜野座村,2012,507
金武町,2012,214
宮古島市,2012,7357
多良間村,2012,173
石垣市,2012,9968
竹富町,2012,4393
与那国町,2012,669
久米島町,2012,1996
渡嘉敷村,2012,1497
座間味村,2012,1804
粟国村,2012,250
渡名喜村,2012,95
南大東村,2012,170
北大東村,2012,100
伊江村,2012,504
伊平屋村,2012,684
伊是名村,2012,517
沖縄県,2012,99061
南部,2012,32042
中部,2012,11096
北部,2012,25746
宮古,2012,7530
八重山,2012,15030
離島,2012,7617
那覇市,2013,28080
糸満市,2013,1614
豊見城市,2013,845
八重瀬町,2013,138
南城市,2013,759
与那原町,2013,69
南風原町,2013,0
沖縄市,2013,1392
宜野湾市,2013,1537
浦添市,2013,87
うるま市,2013,1703
読谷村,2013,3469
嘉手納町,2013,38
北谷町,2013,2153
北中城村,2013,651
中城村,2013,0
西原町,2013,49
名護市,2013,6665
国頭村,2013,1105
大宜味村,2013,90
東村,2013,229
今帰仁村,2013,1110
本部町,2013,3366
恩納村,2013,14381
宜野座村,2013,507
金武町,2013,204
宮古島市,2013,7427
多良間村,2013,173
石垣市,2013,9726
竹富町,2013,4338
与那国町,2013,676
久米島町,2013,1965
渡嘉敷村,2013,1498
座間味村,2013,1805
粟国村,2013,250
渡名喜村,2013,95
南大東村,2013,170
北大東村,2013,100
伊江村,2013,504
伊平屋村,2013,651
伊是名村,2013,492
沖縄県,2013,100111
南部,2013,31505
中部,2013,11079
北部,2013,27657
宮古,2013,7600
八重山,2013,14740
離島,2013,7530
那覇市,2014,28711
糸満市,2014,1600
豊見城市,2014,845
八重瀬町,2014,146
南城市,2014,772
与那原町,2014,69
南風原町,2014,10
沖縄市,2014,1389
宜野湾市,2014,1548
浦添市,2014,116
うるま市,2014,2000
読谷村,2014,3467
嘉手納町,2014,38
北谷町,2014,3402
北中城村,2014,611
中城村,2014,0
西原町,2014,49
名護市,2014,6815
国頭村,2014,1120
大宜味村,2014,100
東村,2014,229
今帰仁村,2014,1229
本部町,2014,4259
恩納村,2014,14634
宜野座村,2014,533
金武町,2014,219
宮古島市,2014,8038
多良間村,2014,173
石垣市,2014,9939
竹富町,2014,4471
与那国町,2014,684
久米島町,2014,1955
渡嘉敷村,2014,1485
座間味村,2014,1828
粟国村,2014,250
渡名喜村,2014,95
南大東村,2014,170
北大東村,2014,100
伊江村,2014,504
伊平屋村,2014,629
伊是名村,2014,492
沖縄県,2014,104724
南部,2014,32153
中部,2014,12620
北部,2014,29138
宮古,2014,8211
八重山,2014,15094
離島,2014,7508
那覇市,2015,29945
糸満市,2015,1596
豊見城市,2015,871
八重瀬町,2015,146
南城市,2015,830
与那原町,2015,63
南風原町,2015,22
沖縄市,2015,1466
宜野湾市,2015,1572
浦添市,2015,109
うるま市,2015,1976
読谷村,2015,3517
嘉手納町,2015,43
北谷町,2015,3653
北中城村,2015,658
中城村,2015,0
西原町,2015,49
名護市,2015,6670
国頭村,2015,1149
大宜味村,2015,100
東村,2015,233
今帰仁村,2015,1373
本部町,2015,4542
恩納村,2015,14807
宜野座村,2015,495
金武町,2015,259
宮古島市,2015,8278
多良間村,2015,166
石垣市,2015,9999
竹富町,2015,4504
与那国町,2015,752
久米島町,2015,1830
渡嘉敷村,2015,1455
座間味村,2015,1836
粟国村,2015,250
渡名喜村,2015,95
南大東村,2015,158
北大東村,2015,100
伊江村,2015,482
伊平屋村,2015,629
伊是名村,2015,512
沖縄県,2015,107190
南部,2015,33473
中部,2015,13043
北部,2015,29628
宮古,2015,8444
八重山,2015,15255
離島,2015,7347
那覇市,2016,32033
糸満市,2016,1602
豊見城市,2016,889
八重瀬町,2016,154
南城市,2016,894
与那原町,2016,72
南風原町,2016,22
沖縄市,2016,1580
宜野湾市,2016,1592
浦添市,2016,125
うるま市,2016,2029
読谷村,2016,3719
嘉手納町,2016,45
北谷町,2016,4035
北中城村,2016,684
中城村,2016,0
西原町,2016,49
名護市,2016,6903
国頭村,2016,1127
大宜味村,2016,115
東村,2016,265
今帰仁村,2016,1656
本部町,2016,4799
恩納村,2016,15272
宜野座村,2016,531
金武町,2016,268
宮古島市,2016,8332
多良間村,2016,180
石垣市,2016,10459
竹富町,2016,4679
与那国町,2016,752
久米島町,2016,1562
