市町村,年,軒数
宮古島市,2007,97
那覇市,2007,140
石垣市,2007,209
恩納村,2007,57
本部町,2007,24
今帰仁村,2007,19
名護市,2007,18
竹富町,2007,129
うるま市,2007,18
読谷村,2007,13
北谷町,2007,17
南城市,2007,19
沖縄市,2007,17
座間味村,2007,69
金武町,2007,3
宜野湾市,2007,5
久米島町,2007,25
国頭村,2007,14
渡嘉敷村,2007,27
宜野座村,2007,14
与那国町,2007,31
東村,2007,7
大宜味村,2007,4
糸満市,2007,8
伊江村,2007,17
伊是名村,2007,20
八重瀬町,2007,4
伊平屋村,2007,14
浦添市,2007,4
粟国村,2007,8
豊見城市,2007,4
多良間村,2007,9
北中城村,2007,1
嘉手納町,2007,2
渡名喜村,2007,8
南大東村,2007,3
与那原町,2007,3
中城村,2007,0
北大東村,2007,2
南風原町,2007,0
西原町,2007,4
沖縄県,2007,1087
南部,2007,178
中部,2007,81
北部,2007,160
宮古,2007,106
八重山,2007,369
離島,2007,193
宮古島市,2008,109
那覇市,2008,141
石垣市,2008,217
恩納村,2008,59
本部町,2008,26
今帰仁村,2008,19
名護市,2008,24
竹富町,2008,138
うるま市,2008,39
読谷村,2008,17
北谷町,2008,17
南城市,2008,19
沖縄市,2008,17
座間味村,2008,72
金武町,2008,3
宜野湾市,2008,4
久米島町,2008,26
国頭村,2008,14
渡嘉敷村,2008,28
宜野座村,2008,20
与那国町,2008,31
東村,2008,6
大宜味村,2008,5
糸満市,2008,8
伊江村,2008,17
伊是名村,2008,21
八重瀬町,2008,5
伊平屋村,2008,14
浦添市,2008,7
粟国村,2008,8
豊見城市,2008,7
多良間村,2008,9
北中城村,2008,1
嘉手納町,2008,2
渡名喜村,2008,8
南大東村,2008,3
与那原町,2008,3
中城村,2008,0
北大東村,2008,2
南風原町,2008,0
西原町,2008,4
沖縄県,2008,1170
南部,2008,183
中部,2008,108
北部,2008,176
宮古,2008,118
八重山,2008,386
離島,2008,199
宮古島市,2009,122
那覇市,2009,172
石垣市,2009,221
恩納村,2009,57
本部町,2009,30
今帰仁村,2009,21
名護市,2009,26
竹富町,2009,140
うるま市,2009,42
読谷村,2009,17
北谷町,2009,23
南城市,2009,19
沖縄市,2009,17
座間味村,2009,72
金武町,2009,2
宜野湾市,2009,4
久米島町,2009,23
国頭村,2009,13
渡嘉敷村,2009,29
宜野座村,2009,20
与那国町,2009,30
東村,2009,6
大宜味村,2009,5
糸満市,2009,9
伊江村,2009,17
伊是名村,2009,22
八重瀬町,2009,3
伊平屋村,2009,13
浦添市,2009,6
粟国村,2009,8
豊見城市,2009,8
多良間村,2009,9
北中城村,2009,1
嘉手納町,2009,2
渡名喜村,2009,10
南大東村,2009,4
与那原町,2009,3
中城村,2009,0
北大東村,2009,2
南風原町,2009,0
西原町,2009,4
沖縄県,2009,1232
南部,2009,214
中部,2009,116
北部,2009,180
宮古,2009,131
八重山,2009,391
離島,2009,200
